2025-10-24 09:54:43,084 | WARNING | matplotlib | /Users/vladimir/.matplotlib is not a writable directory
2025-10-24 09:54:56,456 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,456 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,466 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,523 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,516 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,517 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,518 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,519 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,523 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,709 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,466 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,601 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,602 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,662 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,685 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,686 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,709 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,709 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,523 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,718 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,723 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,775 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,804 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,804 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,805 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,805 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,831 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,825 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,825 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,826 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,835 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,809 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,846 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,840 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,844 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,846 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,854 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,839 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,885 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,886 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,886 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,913 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,914 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,995 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,919 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
